distance,elevation,terrain,dangerous,risk
35,1800,paved,1,94
31,1550,rocky,1,128
167,1200,dirt,0,183
125,50,rocky,1,215
156,0,rocky,1,246
185,700,paved,1,238
8,50,paved,0,8
98,650,rocky,0,141
136,700,rocky,1,229
142,700,sand,0,175
174,700,rocky,1,267
6,1300,paved,0,12
162,900,paved,1,216
185,1600,rocky,0,233
78,900,rocky,1,172
151,100,rocky,0,191
191,1250,rocky,0,237
94,1750,sand,0,132
113,1600,paved,0,121
134,1250,sand,1,220
188,50,rocky,0,228
79,1950,rocky,0,128
44,1600,dirt,0,62
198,600,dirt,1,261
132,1100,sand,1,217
69,1750,paved,1,127
190,1600,dirt,0,208
110,150,rocky,1,200
146,1750,dirt,1,214
125,1100,rocky,1,220
1,1700,sand,1,89
154,50,dirt,0,164
141,1850,dirt,0,160
142,800,paved,0,146
22,50,rocky,0,62
194,850,dirt,1,258
29,1950,dirt,1,98
75,200,dirt,0,86
66,1650,dirt,1,134
166,900,rocky,1,260
128,1500,paved,0,135
80,1200,sand,1,166
49,800,paved,1,103
187,1600,dirt,1,255
6,700,paved,1,59
38,100,dirt,1,98
181,1600,rocky,0,229
162,1650,rocky,0,210
135,50,rocky,1,225
169,2000,rocky,0,219
189,950,dirt,0,203
13,950,paved,0,17
80,950,dirt,1,144
145,800,dirt,0,159
144,100,dirt,1,204
44,1950,paved,1,103
52,1100,paved,0,57
147,1350,dirt,1,213
27,1200,sand,1,113
5,1000,rocky,1,100
5,500,dirt,1,67
145,400,sand,1,227
55,850,paved,1,109
141,1100,rocky,0,186
17,100,paved,0,17
44,500,dirt,1,106
195,1050,sand,1,280
87,1050,paved,1,142
61,1900,rocky,0,110
149,1750,paved,1,207
11,1300,paved,1,67
38,400,sand,0,70
158,1850,rocky,0,207
147,1750,dirt,0,165
69,1150,sand,0,104
118,850,paved,0,122
76,0,paved,0,76
106,350,paved,0,107
62,1850,rocky,0,111
30,1400,dirt,0,47
41,300,rocky,1,132
139,900,sand,1,223
81,300,dirt,1,142
11,50,paved,1,61
186,1900,sand,1,275
101,1000,rocky,0,146
17,1000,rocky,0,62
65,650,rocky,1,158
67,550,dirt,1,129
51,750,sand,0,84
72,250,rocky,0,113
167,1800,sand,0,206
100,950,paved,1,154
48,1000,sand,0,83
86,300,paved,0,87
57,50,dirt,1,117
19,850,paved,0,23
6,2000,paved,1,66
193,1100,rocky,1,288
40,300,sand,0,71
131,550,dirt,0,143
37,1000,sand,0,72
182,1600,sand,0,220
53,450,paved,1,105
160,1750,dirt,0,178
77,1350,dirt,0,93
183,750,sand,0,216
175,1400,rocky,1,272
139,1400,rocky,0,186
102,1050,dirt,1,167
125,50,rocky,0,165
16,1100,dirt,0,31
36,800,sand,1,120
145,1250,dirt,0,161
60,1550,paved,0,67
136,1000,rocky,0,181
62,1000,rocky,1,157
58,1300,sand,1,144
166,700,paved,0,169
196,1600,sand,0,234
131,650,sand,1,214
178,950,sand,0,212
180,1450,paved,0,187
156,1600,rocky,0,204
40,800,rocky,0,84
146,150,rocky,1,236
184,2000,sand,1,274
132,500,paved,0,134
66,2000,paved,1,126
189,250,dirt,0,200
114,750,rocky,1,207
102,500,sand,1,184
33,1950,rocky,0,82
31,1350,rocky,0,77
170,900,sand,0,204
97,1750,paved,0,105
136,1400,paved,0,143
161,1900,dirt,1,230
53,550,sand,0,85
139,600,sand,1,222
150,800,rocky,0,194
140,1100,rocky,1,235
32,650,rocky,0,75
73,300,paved,0,74
146,0,sand,0,176
20,1600,sand,1,108
112,1600,sand,1,200
1,350,rocky,1,92
90,950,rocky,1,184
188,1800,rocky,0,237
166,1200,rocky,0,212
143,0,sand,0,173
119,1900,rocky,1,218
180,500,rocky,0,222
93,1650,paved,1,151
149,1350,rocky,1,245
160,1850,paved,1,219
191,750,sand,0,224
105,2000,dirt,1,175
70,550,paved,0,72
90,800,rocky,1,184
39,1450,sand,1,126
44,1450,paved,1,101
131,300,rocky,0,172
91,200,rocky,0,132
43,1600,dirt,0,61
103,2000,sand,1,193
54,1650,dirt,0,72
86,850,paved,0,90
179,1650,sand,1,267
131,1750,paved,0,139
77,1750,sand,1,165
157,700,rocky,1,250
45,1500,sand,1,132
184,700,sand,0,217
170,50,rocky,1,260
111,750,sand,0,144
19,2000,dirt,1,89
149,450,sand,1,231
135,500,dirt,0,147
184,1400,sand,1,271
193,1250,dirt,0,209
184,650,sand,0,217
28,700,rocky,1,121
127,300,dirt,0,138
15,1900,paved,0,24
175,100,rocky,1,265
88,850,paved,0,92
25,700,rocky,0,68
127,1400,rocky,0,174
60,750,sand,1,143
141,1850,rocky,0,190
116,800,sand,1,200
152,350,dirt,0,163
12,0,paved,1,62
82,1200,sand,0,118
103,500,dirt,0,115
4,1200,dirt,0,20
145,1200,sand,0,181
21,1450,sand,0,58
10,1700,paved,0,18
11,850,paved,1,65
24,600,paved,1,77
164,400,sand,0,196
170,1400,rocky,1,267
162,850,sand,0,196
63,150,dirt,1,123
110,1900,paved,1,169
141,1300,dirt,1,207
170,200,sand,0,201
65,550,paved,0,67
16,650,rocky,0,59
14,2000,paved,1,74
129,1150,paved,1,184
11,400,paved,1,63
171,400,rocky,1,263
7,1650,sand,0,45
65,1000,paved,1,120
9,1200,paved,1,65
81,400,sand,1,163
30,950,paved,1,84
63,1600,dirt,1,131
87,1600,rocky,1,185
27,400,rocky,0,69
75,500,dirt,1,137
100,1650,sand,0,138
105,1100,dirt,0,120
12,950,sand,1,96
77,1000,sand,1,162
84,1650,paved,0,92
39,1000,sand,1,124
147,200,rocky,1,238
123,1450,sand,1,210
21,1850,paved,0,30
13,1650,rocky,1,111
63,1800,sand,1,152
165,1150,rocky,1,260
119,1900,sand,0,158
8,450,sand,0,40
145,400,paved,0,147
197,1300,paved,0,203
140,850,paved,0,144
67,200,paved,0,68
56,550,rocky,0,98
152,1150,rocky,1,247
57,600,rocky,0,100
109,1400,sand,0,146
124,200,sand,1,205
52,0,rocky,1,142
20,1250,rocky,0,66
91,1450,paved,0,98
77,0,paved,1,127
132,1000,sand,1,217
139,1650,rocky,1,237
116,950,dirt,1,180
151,400,dirt,1,213
163,0,rocky,0,203
95,1300,rocky,1,191
169,50,paved,0,169
2,1200,sand,1,88
70,1150,rocky,1,165
100,1450,paved,1,157
91,450,rocky,0,133
5,550,sand,1,87
33,1850,sand,1,122
67,1600,sand,1,155
177,850,rocky,1,271
199,1550,dirt,1,266
103,1350,paved,0,109
34,650,dirt,0,47
187,50,paved,1,237
40,1500,paved,1,97
167,550,paved,0,169
110,1950,paved,0,119
137,1350,sand,0,173
167,300,rocky,0,208
68,850,dirt,1,132
181,150,dirt,0,191
100,350,rocky,1,191
175,1600,rocky,1,273
30,1900,rocky,0,79
39,1200,dirt,0,55
134,800,rocky,1,228
127,2000,dirt,1,197
125,300,paved,1,176
182,850,paved,1,236
77,300,dirt,1,138
70,750,rocky,0,113
34,800,dirt,1,98
144,2000,paved,0,154
106,850,sand,1,190
179,950,sand,1,263
55,1550,sand,1,142
62,1050,dirt,0,77
190,1850,rocky,0,239
15,1600,sand,0,53
166,650,sand,1,249
123,1050,paved,0,128
36,800,dirt,0,50
163,1700,paved,0,171
176,350,dirt,0,187
129,1800,sand,1,218
84,0,paved,1,134
158,700,paved,0,161
72,2000,sand,1,162
154,1650,rocky,0,202
32,1050,sand,0,67
30,800,dirt,0,44
89,200,paved,0,90
77,1000,dirt,1,142
136,150,sand,0,166
21,400,rocky,1,113
185,2000,dirt,0,205
174,1050,sand,0,209
132,1000,paved,1,187
165,400,sand,1,247
24,1800,rocky,1,123
138,1250,sand,0,174
162,950,dirt,0,176
154,1600,paved,0,162
62,650,rocky,1,155
140,50,sand,1,220
136,800,rocky,0,180
104,300,sand,0,135
168,1700,sand,0,206
159,950,rocky,0,203
40,200,dirt,0,51
124,1050,sand,1,209
41,450,rocky,1,133
104,350,dirt,1,165
76,2000,paved,0,86
165,400,rocky,0,207
118,50,rocky,1,208
71,1150,rocky,1,166
156,1450,paved,0,163
121,100,paved,0,121
29,1850,dirt,1,98
142,850,sand,1,226
179,750,dirt,0,192
144,1100,dirt,0,159
199,100,sand,1,279
187,1100,sand,0,222
158,1350,rocky,1,254
92,900,sand,1,176
180,750,dirt,0,193
88,350,dirt,1,149
88,350,paved,1,139
54,1200,dirt,1,120
184,700,paved,0,187
86,1050,dirt,1,151
191,1500,sand,1,278
167,600,rocky,1,260
103,1700,paved,1,161
69,400,dirt,0,81
97,1300,paved,0,103
168,200,dirt,1,229
197,1200,sand,0,233
40,1650,paved,1,98
5,1450,rocky,0,52
138,1250,paved,0,144
109,500,dirt,1,171
170,750,paved,0,173
45,1200,paved,0,51
110,750,paved,0,113
180,1600,paved,0,188
102,1450,paved,0,109
100,250,paved,1,151
12,1650,dirt,0,30
6,950,rocky,1,100
186,1300,dirt,0,202
144,1000,rocky,1,239
142,500,rocky,1,234
52,1550,sand,1,139
39,800,sand,0,73
200,1950,paved,1,259
87,450,sand,1,169
65,1100,rocky,1,160
145,1450,paved,0,152
34,800,dirt,0,48
19,1850,dirt,1,88
184,750,dirt,1,247
101,600,paved,0,104
40,150,paved,1,90
98,1300,dirt,0,114
173,1700,paved,0,181
98,400,sand,0,130
170,1250,sand,0,206
58,950,dirt,1,122
126,1700,sand,0,164
132,950,dirt,1,196
6,900,paved,1,60
194,1400,sand,0,231
14,1000,dirt,0,29
162,300,paved,1,213
163,1850,dirt,0,182
130,1600,rocky,0,178
182,650,rocky,0,225
184,1850,sand,0,223
184,350,dirt,1,245
170,1500,dirt,1,237
10,2000,dirt,0,30
106,850,rocky,1,200
70,1550,paved,0,77
48,1750,paved,1,106
193,100,rocky,0,233
101,1700,sand,0,139
25,200,paved,1,76
114,600,dirt,0,127
131,1200,sand,0,167
60,1150,paved,1,115
14,1450,paved,0,21
38,900,rocky,0,82
150,1600,paved,1,208
24,1250,sand,1,110
69,1100,rocky,0,114
142,1500,paved,1,199
78,1850,sand,0,117
153,1850,sand,0,192
156,1150,rocky,1,251
134,50,paved,0,134
147,1650,paved,0,155
86,1050,sand,0,121
164,1150,paved,1,219
163,250,rocky,1,254
129,1700,paved,0,137
84,1150,dirt,0,99
149,450,paved,1,201
82,1600,rocky,1,180
88,800,sand,0,122
183,200,dirt,1,244
194,1250,sand,0,230
20,500,sand,1,102
22,400,sand,1,104
61,650,paved,1,114
185,1500,paved,1,242
53,1700,paved,1,111
87,900,dirt,0,101
114,1150,paved,0,119
81,1300,dirt,0,97
181,1850,rocky,0,230
51,700,paved,0,54
151,1600,paved,1,209
118,600,paved,1,171
117,1050,sand,0,152
163,0,paved,1,213
9,500,sand,0,41
3,700,paved,0,6
9,1650,dirt,0,27
114,900,dirt,1,178
130,1150,sand,1,215
168,200,dirt,0,179
49,1950,sand,1,138
158,1500,sand,0,195
125,50,paved,1,175
182,1850,sand,1,271
19,1300,dirt,1,85
156,1800,rocky,1,255
155,1500,dirt,1,222
173,1650,sand,1,261
156,1700,sand,1,244
80,0,paved,1,130
118,1100,dirt,1,183
54,1500,sand,0,91
99,1350,paved,0,105
92,0,sand,0,122
79,1200,paved,1,135
87,950,paved,0,91
184,250,sand,0,215
172,200,dirt,1,233
105,1900,sand,0,144
7,550,sand,1,89
76,1200,rocky,1,172
19,600,rocky,0,62
156,100,dirt,0,166
63,1250,rocky,0,109
160,450,sand,1,242
1,950,rocky,1,95
44,450,paved,1,96
112,1750,sand,1,200
82,1900,paved,1,141
141,850,rocky,0,185
80,250,rocky,0,121
129,700,sand,1,212
96,700,paved,0,99
153,1600,dirt,0,171
75,150,paved,0,75
1,150,rocky,0,41
17,150,paved,0,17
138,1050,sand,0,173
157,0,dirt,1,217
52,850,sand,1,136
60,550,dirt,1,122
16,750,rocky,0,59
85,1000,rocky,0,130
5,1800,dirt,0,24
195,550,dirt,0,207
46,950,paved,0,50
81,450,paved,1,133
39,700,paved,1,92
89,150,paved,1,139
52,700,dirt,0,65
15,600,paved,0,18
23,700,sand,1,106
135,1350,dirt,0,151
186,800,dirt,1,250
90,1100,rocky,1,185
174,1200,paved,1,230
63,1550,sand,0,100
155,350,dirt,0,166
198,1350,sand,1,284
86,1150,rocky,1,181
94,1100,sand,1,179
121,1600,paved,1,179
33,950,dirt,1,97
146,400,dirt,0,158
118,2000,dirt,0,138
42,250,sand,0,73
92,1000,dirt,1,157
122,950,paved,1,176
40,1750,sand,1,128
28,450,sand,0,60
176,550,rocky,0,218
12,600,sand,1,95
130,1100,sand,1,215
168,350,dirt,1,229
9,850,dirt,0,23
64,950,sand,1,148
63,1150,paved,0,68
75,1800,paved,0,84
25,400,dirt,1,87
130,850,dirt,0,144
59,200,sand,1,140
113,1850,rocky,0,162
132,1100,dirt,1,197
19,850,dirt,0,33
196,450,dirt,0,208
6,500,rocky,1,98
48,150,sand,0,78
157,750,dirt,0,170
113,600,sand,0,146
148,50,dirt,1,208
123,1750,paved,0,131
94,1550,sand,0,131
125,200,sand,1,206
155,1000,paved,1,210
87,1300,paved,1,143
17,1000,paved,0,22
84,700,sand,1,167
65,950,rocky,1,159
4,900,dirt,1,68
13,350,rocky,1,104
157,650,sand,1,240
197,1800,rocky,1,296
156,800,dirt,1,220
37,1100,paved,1,92
92,1650,dirt,1,160
116,450,rocky,0,158
10,2000,dirt,0,30
190,200,paved,1,241
146,1500,sand,0,183
145,1550,rocky,0,192
99,1750,rocky,0,147
152,1850,sand,0,191
186,1150,sand,1,271
61,1700,sand,0,99
114,1100,dirt,0,129
35,1400,paved,1,92
146,1050,dirt,1,211
123,0,dirt,0,133
114,500,dirt,1,176
120,350,sand,1,201
36,500,sand,0,68
47,1950,sand,0,86
142,1350,rocky,1,238
131,1750,sand,0,169
134,1950,sand,0,173
73,450,paved,1,125
31,1350,rocky,0,77
159,1400,rocky,1,256
94,650,paved,0,97
185,300,paved,1,236
36,1400,rocky,0,83
122,1400,paved,0,129
152,1400,rocky,1,249
75,1100,dirt,1,140
47,50,paved,0,47
141,700,rocky,1,234
114,1050,paved,1,169
14,1450,sand,1,101
120,1050,paved,0,125
103,1700,rocky,1,201
130,450,sand,0,162
90,400,dirt,0,102
56,1450,dirt,0,73
179,300,rocky,0,220
117,450,sand,1,199
72,1250,paved,1,128
125,1400,sand,1,212
165,1850,rocky,1,264
193,900,dirt,0,207
126,550,rocky,0,168
118,300,paved,1,169
81,1550,sand,1,168
144,1850,rocky,1,243
125,1250,dirt,0,141
62,1700,dirt,0,80
14,1000,paved,1,69
108,50,sand,1,188
93,1900,rocky,0,142
74,700,sand,1,157
179,1200,dirt,0,195
100,1100,dirt,0,115
17,1950,sand,1,106
53,900,paved,1,107
2,1100,paved,1,57
40,350,dirt,1,101
37,1200,rocky,1,133
139,2000,sand,0,179
50,500,dirt,0,62
38,350,rocky,0,79
111,400,sand,1,193
153,400,paved,1,205
200,550,dirt,0,212
178,1550,rocky,0,225
167,250,dirt,1,228
145,450,dirt,1,207
182,400,sand,1,264
17,1200,rocky,0,63
136,1450,dirt,0,153
53,0,sand,0,83
69,1650,dirt,0,87
28,350,rocky,1,119
27,1400,rocky,1,124
37,1350,sand,1,123
193,1200,rocky,1,289
95,1750,dirt,0,113
17,450,dirt,0,29
6,750,rocky,1,99
158,1400,paved,0,165
45,1650,paved,0,53
111,850,rocky,0,155
61,1150,rocky,1,156
150,150,rocky,0,190
177,1650,sand,0,215
90,350,dirt,0,101
112,450,paved,1,164
34,450,sand,0,66
121,2000,paved,1,181
18,1850,rocky,0,67
121,1700,paved,0,129
138,1250,rocky,0,184
134,1200,rocky,1,230
113,350,paved,0,114
152,1950,sand,0,191
25,1100,paved,0,30
29,1850,paved,0,38
132,1350,dirt,0,148
79,1550,paved,1,136
144,950,rocky,0,188
172,1900,paved,1,231
159,1500,rocky,0,206
69,1000,rocky,1,164
137,150,sand,0,167
191,1400,rocky,1,288
150,1850,dirt,1,219
